Tenant_ID,Age,Occupation,Income_Level,Credit_Score,Past_Default,Debt_to_Income_Ratio,Monthly_Rent,Lease_Term_Months,Security_Deposit,Property_Type,Property_Size_SqFt,Unemployment_Rate,GDP_Growth_Rate,Default_Risk
1,56,Full-time,148416,792,0,0.24,845,24,845,Residential,2628,8.87,2.41,0
2,46,Self-employed,98947,637,0,0.43,4411,24,8822,Commercial,4436,6.46,1.97,1
3,32,Unemployed,138972,365,0,0.35,648,24,648,Residential,2673,8.97,1.39,1
4,60,Unemployed,94716,721,1,0.49,1539,36,1539,Commercial,4209,6.85,2.3,1
5,25,Freelancer,67993,839,0,0.48,1890,24,3780,Residential,629,9.89,2.11,1
6,38,Freelancer,30073,792,0,0.17,4404,12,4404,Residential,2058,7.62,3.31,0
7,56,Part-time,57251,616,0,0.49,617,6,1234,Commercial,2761,5.62,2.48,1
8,36,Part-time,116496,374,0,0.48,1203,12,1203,Residential,3700,8.34,1.93,1
9,40,Unemployed,91437,358,0,0.25,4883,6,4883,Commercial,4224,6.57,3.45,1
10,28,Freelancer,58897,685,0,0.49,3455,6,3455,Commercial,4033,8.64,2.29,1
11,28,Full-time,70906,314,0,0.11,2524,12,2524,Commercial,2303,8.83,2.41,1
12,41,Self-employed,71616,530,0,0.36,4896,12,4896,Residential,3628,7.32,3.39,1
13,53,Freelancer,128719,498,1,0.21,4845,36,9690,Commercial,1114,9.11,1.47,1
14,57,Freelancer,24482,653,0,0.15,2457,6,2457,Commercial,3910,5.82,4.1,0
15,41,Part-time,127990,334,0,0.33,3299,24,3299,Commercial,2881,3.4,4.86,1
16,20,Self-employed,110964,461,0,0.22,1497,36,2994,Residential,2364,7.64,2.96,1
17,39,Unemployed,92936,770,0,0.37,905,24,1810,Residential,2452,8.35,3.24,0
18,19,Freelancer,59574,830,0,0.32,3348,36,3348,Residential,1187,3.51,2.54,0
19,41,Unemployed,143331,722,0,0.26,743,6,1486,Residential,4427,8.4,4.83,0
20,61,Freelancer,63284,647,0,0.17,2914,12,2914,Residential,4742,7.47,1.53,0
21,47,Unemployed,92932,446,0,0.34,4356,12,8712,Commercial,4007,3.81,4.25,1
22,55,Self-employed,27338,673,0,0.43,2105,6,4210,Commercial,2559,6.78,3.6,1
23,19,Part-time,62718,715,0,0.34,932,12,932,Commercial,3408,3.76,4.17,0
24,38,Self-employed,32500,793,1,0.34,4778,6,9556,Commercial,3804,5.25,4.8,1
25,50,Full-time,31545,555,0,0.3,3306,6,3306,Residential,2709,8.63,2.98,1
26,29,Part-time,81480,402,0,0.26,1641,6,1641,Residential,2117,3.71,2.15,1
27,39,Self-employed,25241,420,0,0.28,4626,36,4626,Residential,4542,6.22,4.12,1
28,61,Full-time,109314,718,0,0.5,3524,12,7048,Residential,2399,7.24,4.38,1
29,42,Freelancer,42821,649,1,0.4,1672,36,1672,Commercial,2534,9.58,3.75,1
30,44,Freelancer,24695,341,0,0.27,3956,24,7912,Commercial,4071,8.16,4.4,1
31,59,Unemployed,97066,666,0,0.28,4697,6,4697,Commercial,4473,3.97,3.92,0
32,45,Part-time,132616,328,1,0.3,1595,12,3190,Residential,3452,9.78,4.83,1
33,33,Freelancer,137276,313,0,0.36,4405,24,8810,Commercial,1225,6.35,3.28,1
34,32,Part-time,34318,784,0,0.29,3352,6,6704,Commercial,4003,5.59,2.52,0
35,64,Freelancer,70934,488,1,0.37,2955,24,5910,Residential,4027,3.9,3.72,1
36,61,Unemployed,42331,594,0,0.23,4423,36,4423,Residential,1677,9.53,1.28,1
37,20,Self-employed,141282,482,0,0.26,1890,36,1890,Commercial,4585,7.1,2.99,1
38,54,Unemployed,72672,847,0,0.45,3336,12,3336,Residential,3909,9.92,4.09,1
39,24,Full-time,111891,336,0,0.23,1117,24,1117,Commercial,2840,4.22,1.68,1
40,38,Freelancer,96860,313,0,0.49,3096,24,6192,Commercial,2983,6.82,2.6,1
41,26,Full-time,113685,458,0,0.17,4886,36,4886,Commercial,4761,3.77,2.4,1
42,56,Full-time,88754,793,0,0.2,2969,36,5938,Commercial,3541,6.67,2.34,0
